Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,Asset UUID,Vulnerability State,IP Address,FQDN,NetBios,OS,MAC Address,Plugin Family,CVSS Base Score,CVSS Temporal Score,CVSS Temporal Vector,CVSS Vector,CVSS3 Base Score,CVSS3 Temporal Score,CVSS3 Temporal Vector,CVSS3 Vector,System Type,Host Start,Host End
"50345","","0.0","None","172.21.21.13","tcp","80","Missing or Permissive X-Frame-Options HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
X-Frame-Options response header or does not set one at all.

The X-Frame-Options header has been proposed by Microsoft as a way to
mitigate clickjacking attacks and is currently supported by all major
browser vendors","Set a properly configured X-Frame-Options header for all requested
resources.","https://en.wikipedia.org/wiki/Clickjacking
http://www.nessus.org/u?399b1f56","
The following pages do not set a X-Frame-Options response header or set a permissive policy:

  - http://172.21.21.13/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"50345","","0.0","None","172.21.21.13","tcp","443","Missing or Permissive X-Frame-Options HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
X-Frame-Options response header or does not set one at all.

The X-Frame-Options header has been proposed by Microsoft as a way to
mitigate clickjacking attacks and is currently supported by all major
browser vendors","Set a properly configured X-Frame-Options header for all requested
resources.","https://en.wikipedia.org/wiki/Clickjacking
http://www.nessus.org/u?399b1f56","
The following pages do not set a X-Frame-Options response header or set a permissive policy:

  - https://172.21.21.13/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"10386","","0.0","None","172.21.21.13","tcp","80","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was :

    http://172.21.21.13/3QpurOELzqIl.html
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"10386","","0.0","None","172.21.21.13","tcp","443","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was :

    https://172.21.21.13/3QpurOELzqIl.html
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"43111","","0.0","None","172.21.21.13","tcp","443","HTTP Methods Allowed (per directory)","This plugin determines which HTTP methods are allowed on various CGI
directories.","By calling the OPTIONS method, it is possible to determine which HTTP
methods are allowed on each directory.

The following HTTP methods are considered insecure:
  PUT, DELETE, CONNECT, TRACE, HEAD

Many frameworks and languages treat 'HEAD' as a 'GET' request, albeit
one without any body in the response. If a security constraint was
set on 'GET' requests such that only 'authenticatedUsers' could
access GET requests for a particular servlet or resource, it would be
bypassed for the 'HEAD' version. This allowed unauthorized blind
submission of any privileged GET request.

As this list may be incomplete, the plugin also tests - if 'Thorough
tests' are enabled or 'Enable web applications tests' is set to 'yes'
in the scan policy - various known HTTP methods on each directory and
considers them as unsupported if it receives a response code of 400,
403, 405, or 501.

Note that the plugin output is only informational and does not
necessarily indicate the presence of any security vulnerabilities.","n/a","http://www.nessus.org/u?d9c03a9a
http://www.nessus.org/u?b019cbdb
https://www.owasp.org/index.php/Test_HTTP_Methods_(OTG-CONFIG-006)","
Based on tests of each method :

  - HTTP methods ACL BASELINE-CONTROL BCOPY BDELETE BMOVE BPROPFIND
    BPROPPATCH CHECKIN CHECKOUT CONNECT COPY DEBUG DELETE GET HEAD
    INDEX LABEL LOCK MERGE MKACTIVITY MKCOL MKWORKSPACE MOVE NOTIFY
    OPTIONS ORDERPATCH PATCH POLL POST PROPFIND PROPPATCH PUT REPORT
    RPC_IN_DATA RPC_OUT_DATA SEARCH SUBSCRIBE TRACE UNCHECKOUT UNLOCK
    UNSUBSCRIBE UPDATE VERSION-CONTROL X-MS-ENUMATTS are allowed on :

    /

  - Invalid/unknown HTTP methods are allowed on :

    /
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"24260","","0.0","None","172.21.21.13","tcp","80","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive and HTTP pipelining are enabled,
etc...

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
SSL : no
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  connection: close
  content-length: 235
  content-type: text/html
  date: Tue, 28 Apr 2020 11:33:58 GMT
  last-modified: Mon, 08 Jun 2015 11:15:56 GMT
  p3p: CP=""NON CUR OTPi OUR NOR UNI""
  x-xss-protection: 1
  strict-transport-security: max-age=31536000; includeSubDomains

Response Body :

<html>
<head>
<META HTTP-EQUIV=Refresh CONTENT=""0; URL=http://www.sample.corp.123/network-operations "">
</head>
<body>
If you are not redirected, <a href=""http://www.sample.corp.123/network-operations "">clik here</a>.
</body>
</html>

","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"24260","","0.0","None","172.21.21.13","tcp","443","HyperText Transfer Protocol (HTTP) Information","Some information about the remote HTTP configuration can be extracted.","This test gives some information about the remote HTTP protocol - the
version used, whether HTTP Keep-Alive and HTTP pipelining are enabled,
etc...

This test is informational only and does not denote any security
problem.","n/a","","
Response Code : HTTP/1.1 200 OK

Protocol version : HTTP/1.1
SSL : yes
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  connection: close
  content-length: 235
  content-type: text/html
  date: Tue, 28 Apr 2020 11:33:59 GMT
  last-modified: Mon, 08 Jun 2015 11:15:56 GMT
  p3p: CP=""NON CUR OTPi OUR NOR UNI""
  x-xss-protection: 1
  strict-transport-security: max-age=31536000; includeSubDomains

Response Body :

<html>
<head>
<META HTTP-EQUIV=Refresh CONTENT=""0; URL=http://www.sample.corp.123/network-operations "">
</head>
<body>
If you are not redirected, <a href=""http://www.sample.corp.123/network-operations "">clik here</a>.
</body>
</html>

","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"11936","","0.0","None","172.21.21.13","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Microsoft Windows Vista
Confidence level : 65
Method : SinFP


The remote host is running Microsoft Windows Vista","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"54615","","0.0","None","172.21.21.13","tcp","0","Device Type","It is possible to guess the remote device type.","Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).","n/a","","Remote device type : general-purpose
Confidence level : 65
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"19506","","0.0","None","172.21.21.13","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan :

Nessus version : 8.10.0
Plugin feed version : 202004250028
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Basic Network Scan
Scanner IP : tenable.io Scanner
Port scanner(s) : nessus_syn_scanner
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : enabled
Web application tests : enabled
Web app tests -  Test mode : single
Web app tests -  Try all HTTP methods : no
Web app tests -  Maximum run time : 30 minutes.
Web app tests -  Stop at first flaw : CGI
Max hosts : 10
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2020/4/28 11:26 UTC
Scan duration : 669 sec
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Settings","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"45590","","0.0","None","172.21.21.13","tcp","0","Common Platform Enumeration (CPE)","It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host.

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.","n/a","http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE :

  cpe:/o:microsoft:windows_vista
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"117530","","0.0","None","172.21.21.13","tcp","0","Errors in nessusd.dump","This plugin parses information from the nessusd.dump log
file and reports on errors.","This plugin parses information from the nessusd.dump log
file and reports on errors.","n/a","","The nessusd.dump log file contained errors from the following plugins:

  - ftplocate_fsite_cmd_exec.nasl reported 1 error
  - ssl_deprecated_ciphers_89.nasl reported 1 error
  - ssl_deprecated_ciphers.nasl reported 1 error
  - mailman_webmail.nasl reported 1 error
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"11219","","0.0","None","172.21.21.13","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target.

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Port scanners","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"25220","","0.0","None","172.21.21.13","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a","http://www.ietf.org/rfc/rfc1323.txt","","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","General","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"22964","","0.0","None","172.21.21.13","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A TLSv1.2 server answered on this port.
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Service detection","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"22964","","0.0","None","172.21.21.13","tcp","443","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","A web server is running on this port through TLSv1.2.","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Service detection","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"50344","","0.0","None","172.21.21.13","tcp","443","Missing or Permissive Content-Security-Policy frame-ancestors HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
Content-Security-Policy (CSP) frame-ancestors response header or does
not set one at all.

The CSP frame-ancestors header has been proposed by the W3C Web
Application Security Working Group as a way to mitigate cross-site
scripting and clickjacking attacks.","Set a non-permissive Content-Security-Policy frame-ancestors header
for all requested resources.","http://www.nessus.org/u?55aa8f57
http://www.nessus.org/u?07cc2a06
https://content-security-policy.com/
https://www.w3.org/TR/CSP2/","
The following pages do not set a Content-Security-Policy frame-ancestors response header or set a permissive policy:

  - https://www.testx.sample.corp.123/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"49704","","0.0","None","172.21.21.13","tcp","443","External URLs","Links to external sites were gathered.","Nessus gathered HREF links to external sites by crawling the remote
web server.","n/a","","
1 external URL was gathered on this web server :
URL...                                  - Seen on...


http://www.sample.corp.123/network-operations  - /
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"91815","","0.0","None","172.21.21.13","tcp","443","Web Application Sitemap","The remote web server hosts linkable content that can be crawled by
Nessus.","The remote web server contains linkable content that can be used to
gather information about a target.","n/a","http://www.nessus.org/u?5496c8d9","
The following sitemap was created from crawling linkable content on the target host :

  - https://www.testx.sample.corp.123/

Attached is a copy of the sitemap file.
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"50345","","0.0","None","172.21.21.13","tcp","443","Missing or Permissive X-Frame-Options HTTP Response Header","The remote web server does not take steps to mitigate a class of web
application vulnerabilities.","The remote web server in some responses sets a permissive
X-Frame-Options response header or does not set one at all.

The X-Frame-Options header has been proposed by Microsoft as a way to
mitigate clickjacking attacks and is currently supported by all major
browser vendors","Set a properly configured X-Frame-Options header for all requested
resources.","https://en.wikipedia.org/wiki/Clickjacking
http://www.nessus.org/u?399b1f56","
The following pages do not set a X-Frame-Options response header or set a permissive policy:

  - https://www.testx.sample.corp.123/
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","CGI abuses","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
"10386","","0.0","None","172.21.21.13","tcp","443","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was :

    https://www.testx.sample.corp.123/90WHS1V5j0Xu.html
","ba0b4acb-726a-4e0d-80fb-2743354f2b0c","Active","172.21.21.13","www.testx.sample.corp.123","","Microsoft Windows Vista","","Web Servers","","","","","","","","","general-purpose","2020-04-28T10:00:24.561Z","2020-04-28T11:42:57.343Z"
